,Address,Latitude,Longitude
0,Braker And Ih35 Austin  TX,30.3777146,-97.6763672
1,127 North Webberville Road Travis  TX,30.2760506,-97.68884639999999
2,6405 South Ih 35 Frontage Road Austin  TX,30.1914238,-97.76713509999999
3,2303 Wagon Grossing Path Austin  TX,30.1921186,-97.7558672
4,22718 Big Sandy Drive Travis  TX,30.5705136,-97.9496944
5,815 W Slaughter Ln Austin  TX,30.17321239999999,-97.8065848
6,15010 Fm 1825 Pflugerville  TX,30.4430922,-97.66580239999999
7,12330 Soith Ih 35 Frontage Road Austin  TX,30.1199598,-97.8043735
8,Riverside Drive And Pleasant Vally Austin  TX,30.234143,-97.7228689
9,710 East Ben White Boulevard Austin  TX,30.2203767,-97.754233
10,Slaughter Lane And Interstate 35 Austin  TX,30.1667137,-97.7844827
11,Anderson Mill & Olson Rd Austin  TX,30.4471481,-97.80403319999999
12,902 B Sirocco Drive Austin  TX,30.2033267,-97.78974769999999
13,5207 Pine Place Austin  TX,30.1983761,-97.74856679999999
14,6102 Kidneywood Trl Austin  TX,30.250307,-97.88352100000002
15,2601 Cardinal Loop Del Valle  TX,30.2133248,-97.6570574
16,Springdale Road And Ledesma Austin  TX,30.2740168,-97.6901542
17,12100 Tunnel Trail Austin  TX,30.134665,-97.8199056
18,20602 Fm 1431 Leander  TX,30.4745516,-97.9739702
19,5639 Airport Boulevard Austin  TX,30.3187604,-97.71129119999999
20,Fm 973 And 71 Austin  TX,30.2024274,-97.6396189
21,7201 Levander Loop Austin  TX,30.2527847,-97.6904186
22,Teri Road And Pleasant Valley Austin  TX,30.1969636,-97.74414449999999
23,8312 Fathom Circle Austin  TX,30.4361463,-97.7761077
24,8311 Evelyn Road Travis  TX,30.071428,-97.68959699999999
25,5400 West Parmer Lane Austin  TX,30.4367138,-97.7328567
26,1156 West Cesar Chavez Street Austin  TX,30.269764,-97.7591144
27,Pearl Retreat Lane And Dessau Road Austin  TX,30.3924694,-97.64579769999999
28,908 Bret Lane Austin  TX,30.256173,-97.68864699999999
29,14107 Sleepy Hollow Drive Pflugerville  TX,30.4114313,-97.63211720000001
30,21121 Hogeye Road Manor  TX,30.2975383,-97.48190249999999
31,Crownridge Road And Village Green Drive Austin  TX,30.3556064,-97.68221369999999
32,706 B West Ben White Austin  TX,30.2283886,-97.7694726
33,933 Coronation Way Pflugerville  TX,30.4274652,-97.63949029999999
34,Research Boulevard Austin  TX,30.414693,-97.7464844
35,2200 Garden Street Austin  TX,30.2530959,-97.7217484
36,5918 Alsace Trail Austin  TX,30.2904503,-97.6462708
37,13712 Fm 969 Rd Travis  TX,30.2503289,-97.5879164
38,1208 Coaches Crossing Pflugerville  TX,30.4451534,-97.6567395
39,East Sprindale Road And Martin Luther King Boulevard Austin  TX,30.28583459999999,-97.6826564
40,2305 East 22Nd Street Austin  TX,30.2834196,-97.7171666
41,834 Neans Drive Austin  TX,30.3735411,-97.6928623
42,10206 Parsons Road Manor  TX,30.296874,-97.509112
43,Burnet And 183 Austin  TX,30.36994899999999,-97.727419
44,Hunters Chase Drive And Cahill Drive Austin  TX,30.4459311,-97.76986430000001
45,10200 Catherine Dr Travis  TX,30.2707697,-97.6198941
46,10616 Mellow Mdws Austin  TX,30.46053749999999,-97.7997398
47,13925 Rector Loop Manor  TX,30.3728386,-97.5585141
48,Piedras Blanco And Running Water Drive Austin  TX,30.1613089,-97.7400842
49,4501 East Riverside Drive Austin  TX,30.231644,-97.7223999
50,Wells Branch Parkway And Dessau Road Pflugerville  TX,30.4248264,-97.6262689
51,7451 Onion Creek Drive Austin  TX,30.170178,-97.75251399999999
52,1314 William Barton Drive Austin  TX,30.2642486,-97.7725419
53,12001 Metric Blvd Austin  TX,30.401989,-97.70180599999999
54,6910 Drexel Drive Austin  TX,30.3184986,-97.67507110000001
55,12812 Thomas Jefferson Street Manor  TX,30.3547615,-97.5203457
56,5501 Ed Bluestein Blvd Austin  TX,30.2945717,-97.6630842
57,1820 Wooten Park Austin  TX,30.3545348,-97.7249748
58,8017 Old Bee Caves Road Austin  TX,30.246265,-97.884321
59,1203 Loma Drive Austin  TX,30.2439542,-97.7309131
60,13300 Prarie Sage Manor  TX,30.3387572,-97.52301089999999
